file,line,table,verb,group,sha256,sql
worker/src/auth/companion.ts,52,settings,INSERT OR IGNORE INTO,other-domain,30a7e49a5f869c34f8f41cc1c9babc32023636a45bc74baf3003f44e3487c484,"INSERT OR IGNORE INTO settings(key,value,updated_at) VALUES(?,?,?)"
worker/src/auth/companion.ts,79,settings,UPDATE,other-domain,02bdccddfd29134d905dc671c7d5003ce57892452304dbbf28ca25c483a9171a,"UPDATE settings SET value=?,updated_at=? WHERE key=? AND value=?"
worker/src/auth/companion.ts,97,settings,UPDATE,other-domain,02bdccddfd29134d905dc671c7d5003ce57892452304dbbf28ca25c483a9171a,"UPDATE settings SET value=?,updated_at=? WHERE key=? AND value=?"
worker/src/cron.ts,27,operations,UPDATE,settlement-linked,d59c9a8eaf1f442ac9a03a25433f6b0a861386998271dce5db6018db2c6c9ca8,"UPDATE operations SET state = 'failed_safe', updated_at = ? WHERE id = ? AND state = 'claimed' AND action != 'attachment.stage_upload'"
worker/src/cron.ts,32,_assert,INSERT INTO,other-domain,9f213641e11b078390003667aea33ea08f9cd9790c12de63bc106c2cc953dfc9,INSERT INTO _assert (x) SELECT 1 WHERE NOT EXISTS (SELECT 1 FROM operations WHERE id = ? AND state = 'failed_safe')
worker/src/cron.ts,37,staging_objects,UPDATE,settlement-linked,1a87874b96516ec5c6bc52a4b7253e1539be79ec8d3c1ad8bacf34b7937fb958,UPDATE staging_objects SET reserved_by_operation_id = NULL WHERE reserved_by_operation_id = ? AND consumed_at IS NULL
worker/src/cron.ts,42,pending_actions,UPDATE,settlement-linked,aa9b1e33027f45d13b84eaf4e690dbc7f9e839ab9689512eb216c054e940cdd9,"UPDATE pending_actions SET state = 'failed', payload_json = NULL, summary = 'redacted', error = 'failed_safe' WHERE operation_id = ? AND state = 'executing'"
worker/src/cron.ts,54,pending_actions,UPDATE,settlement-linked,2cfa99177c788cb15a88c3b7762bf7c8f4611652c2fff7876d78db348f1ab734,"UPDATE pending_actions SET state = 'expired', payload_json = NULL, summary = 'redacted'
     WHERE id IN (SELECT id FROM pending_actions WHERE state IN ('pending','approved') AND expires_at <= ? LIMIT ?)"
worker/src/cron.ts,61,operations,UPDATE,settlement-linked,e5feffa8f169cff9240f078dad55b8e3bade0e759493c410a90d6a385623d6e2,"UPDATE operations SET state = 'delivery_unknown', updated_at = ?
     WHERE id IN (SELECT id FROM operations WHERE state = 'executing' AND action != 'attachment.stage_upload' AND updated_at <= ? LIMIT ?)"
worker/src/cron.ts,78,audit_log,DELETE FROM,settlement-linked,20213e294afd61a0ddf0ab44dc2dc8c94db89a7866fe7ae29caef19bdf5b3261,DELETE FROM audit_log WHERE id IN (SELECT id FROM audit_log WHERE ts <= ? LIMIT ?)
worker/src/google/connect.ts,55,accounts,UPDATE,other-domain,8693437c7d285c651a425f3f0aae0b86ce3962db0e5b5ac746d4b5fea9f829f0,"UPDATE accounts SET google_email = ?, send_as = ?, scopes = ?, status = 'active', credential_version = credential_version + 1,
         refresh_token_enc = ?, refresh_token_key_id = ?, access_token_enc = ?, access_token_key_id = ?, access_expires_at = ?, last_refresh_at = ?
       WHERE id = ? AND user_id = ?"
worker/src/google/connect.ts,83,accounts,INSERT INTO,other-domain,22ca67c223566bcadffb4bde66a809d0be928b7e9bc928c11a1e607231a7e81b,"INSERT INTO accounts (id, user_id, alias, google_sub, google_email, send_as, scopes, status, is_default,
         refresh_token_enc, refresh_token_key_id, access_token_enc, access_token_key_id, access_expires_at, created_at, last_refresh_at)
       VALUES (?, ?, ?, ?, ?, ?, ?, 'active',
         (SELECT CASE WHEN EXISTS (SELECT 1 FROM accounts WHERE user_id = ? AND is_default = 1) THEN 0 ELSE 1 END),
         ?, ?, ?, ?, ?, ?, ?)"
worker/src/google/connect.ts,117,accounts,INSERT INTO,other-domain,74ec37bed15b3cfde8e12fd5fc61cf6e92822635aabe07ddfeeee372ba4889ee,"INSERT INTO accounts (id, user_id, alias, google_sub, google_email, send_as, scopes, status, is_default,
           refresh_token_enc, refresh_token_key_id, access_token_enc, access_token_key_id, access_expires_at, created_at, last_refresh_at)
         VALUES (?, ?, ?, ?, ?, ?, ?, 'active', 0, ?, ?, ?, ?, ?, ?, ?)"
worker/src/google/tokens.ts,90,accounts,UPDATE,other-domain,ef166e8208b2a4355f085d773f6a2ce5b99342249544a7f14758eee42aa0f67b,"UPDATE accounts SET access_token_enc = ?, access_token_key_id = ?,
           refresh_token_enc = COALESCE(?, refresh_token_enc), refresh_token_key_id = COALESCE(?, refresh_token_key_id)"
worker/src/google/tokens.ts,110,accounts,UPDATE,other-domain,74eafe6768e8e55e296b751432ebadbd4307e7a5e35fd73cfd8ae4a31ee9956a,"UPDATE accounts SET status = 'needs_reconnect', access_token_enc = NULL, access_token_key_id = NULL, access_expires_at = NULL
       WHERE id = ? AND user_id = ? AND status = 'active' AND credential_version = ?"
worker/src/google/tokens.ts,124,accounts,UPDATE,other-domain,7e45b0a02919e1c365e3049bdb73898fbf60b85e8e438531ca689322b994c189,"UPDATE accounts SET access_token_enc = ?, access_token_key_id = ?, access_expires_at = ?, last_refresh_at = ?,
       refresh_token_enc = COALESCE(?, refresh_token_enc), refresh_token_key_id = COALESCE(?, refresh_token_key_id)"
worker/src/google/tokens.ts,144,accounts,UPDATE,other-domain,b7592eb8034abec7a2432f98f36aa875e75ecc9d6a333fc7bde433d16fc2787c,"UPDATE accounts SET status = 'revoked', is_default = 0, credential_version = credential_version + 1,
         refresh_token_enc = NULL, refresh_token_key_id = NULL, access_token_enc = NULL, access_token_key_id = NULL, access_expires_at = NULL
       WHERE id = ? AND user_id = ? AND credential_version = ?"
worker/src/operations/journal.ts,35,operations,INSERT INTO,settlement-linked,df7884b1fd5a052c06d94d5ecb8f627eefceed3103021f10ecf5d13e2f1df137,"INSERT INTO operations (id, user_id, account_id, action, idempotency_key, state, payload_hash, created_at, updated_at)
       VALUES (?, ?, ?, ?, NULL, 'claimed', ?, ?, ?)"
worker/src/operations/journal.ts,44,operations,INSERT OR IGNORE INTO,settlement-linked,46938250ff53ce848570c7d26d262042099ba20c5ba9c561d422382a7c35184f,"INSERT OR IGNORE INTO operations (id, user_id, account_id, action, idempotency_key, state, payload_hash, created_at, updated_at)
     VALUES (?, ?, ?, ?, ?, 'claimed', ?, ?, ?)"
worker/src/operations/journal.ts,73,operations,UPDATE,settlement-linked,a72459c13a11a559454e10ece35d9194ac03478f6a39f6e2cd8b7345a4475be1,"UPDATE operations SET state = ?, updated_at = ?,
         gmail_result_id = COALESCE(?, gmail_result_id), rfc822_message_id = COALESCE(?, rfc822_message_id)
       WHERE id = ? AND state IN (${from.map(() => ""?"").join("","")})"
worker/src/operations/journal.ts,99,operations,INSERT INTO,settlement-linked,df7884b1fd5a052c06d94d5ecb8f627eefceed3103021f10ecf5d13e2f1df137,"INSERT INTO operations (id, user_id, account_id, action, idempotency_key, state, payload_hash, created_at, updated_at)
       VALUES (?, ?, ?, ?, NULL, 'claimed', ?, ?, ?)"
worker/src/policy/engine.ts,51,policies,INSERT INTO,other-domain,8c9b73660c1f0cca0f676e2179be18e7cd9beef21396fbf52c62d10601318ddd,"INSERT INTO policies (user_id, account_id, action, level, updated_at) VALUES (?, NULL, ?, ?, ?)
       ON CONFLICT(user_id, action) WHERE account_id IS NULL DO UPDATE SET level = excluded.level, updated_at = excluded.updated_at"
worker/src/policy/engine.ts,60,policies,INSERT INTO,other-domain,80da7047a169a9430e982a9f28d8ee6dc0fdf93f7bba05d2d93a4cd9132a48e9,"INSERT INTO policies (user_id, account_id, action, level, updated_at) VALUES (?, ?, ?, ?, ?)
       ON CONFLICT(user_id, account_id, action) WHERE account_id IS NOT NULL DO UPDATE SET level = excluded.level, updated_at = excluded.updated_at"
worker/src/policy/engine.ts,78,policies,INSERT INTO,other-domain,2d4a04ac73308df7d7d220879fcf34e08b09a875916338a6e787f3bac2e7b475,"INSERT INTO policies (user_id, account_id, action, level, updated_at) VALUES (?, NULL, ?, ?, ?)
           ON CONFLICT(user_id, action) WHERE account_id IS NULL DO UPDATE SET level = excluded.level, updated_at = excluded.updated_at"
worker/src/policy/engine.ts,84,policies,INSERT INTO,other-domain,0fcf46f3ee7dac7d96c4cb3874760ded631ac0cf4d06b4111fd35bb98f4527dc,"INSERT INTO policies (user_id, account_id, action, level, updated_at) VALUES (?, ?, ?, ?, ?)
           ON CONFLICT(user_id, account_id, action) WHERE account_id IS NOT NULL DO UPDATE SET level = excluded.level, updated_at = excluded.updated_at"
worker/src/policy/engine.ts,96,policies,DELETE FROM,other-domain,8bd5efb8047ec5f5e2aaea59470795163c1f15352822c618da97a730d3b8555a,DELETE FROM policies WHERE user_id = ? AND account_id IS NULL AND action = ?
worker/src/policy/engine.ts,99,policies,DELETE FROM,other-domain,811c29f081268b9426d05816f399200fa00daad732eb1a636200382d6392053a,DELETE FROM policies WHERE user_id = ? AND account_id = ? AND action = ?
worker/src/staging/budgets.ts,22,staging_recovery_slots,INSERT INTO,plan4-storage,9134fb3f7d8185a107d5e30cb53610820c7de78decc1a3ad81f1cc6ed384a0ea,"INSERT INTO staging_recovery_slots VALUES(?,?,?,?) ON CONFLICT(user_id,key) DO UPDATE SET units=MAX(units,excluded.units),retain_until=MAX(retain_until,excluded.retain_until)"
worker/src/staging/downloads.ts,44,download_admissions,INSERT INTO,plan4-storage,aed9c08e945d920238cf343593da565bf2d1b8e56913a49eb2053f11c4d2604f,"INSERT INTO download_admissions(user_id,handle,account_id,admitted_at,lease_until,retain_until) VALUES(?,?,?,?,?,?) ON CONFLICT(user_id,handle) DO UPDATE SET lease_until=MAX(lease_until,excluded.lease_until),retain_until=MAX(retain_until,excluded.retain_until)"
worker/src/staging/downloads.ts,47,download_streams,INSERT INTO,plan4-storage,68f8ad5ab43d07cae3ee10294c5c2cd1df100690ec4025cdb4b24aebf9824bf0,"INSERT INTO download_streams VALUES(?,?,?,?)"
worker/src/staging/downloads.ts,50,staging_objects,UPDATE,settlement-linked,7f3ec50fa8a3f58a0f484c678348b153baeadb8845dae584d08e4a9526b349eb,"UPDATE staging_objects SET download_lease_until=MAX(COALESCE(download_lease_until,0),?) WHERE handle=? AND user_id=?"
worker/src/staging/downloads.ts,59,download_streams,DELETE FROM,plan4-storage,dd540126b8d2ca82cd478e66f3ef62dad09960d542f249354526e52219e1111c,DELETE FROM download_streams WHERE id=?
worker/src/staging/downloads.ts,62,staging_objects,UPDATE,settlement-linked,4967000279cdafbc709666f3785c76fe34e5c47df413ec5b9f84a5e7bc9ef0c4,"UPDATE staging_objects SET download_lease_until=COALESCE((SELECT MAX(lease_until) FROM download_streams WHERE handle=? AND user_id=?),0) WHERE handle=? AND user_id=?"
worker/src/staging/downloads.ts,134,staging_acknowledgements,INSERT OR IGNORE INTO,plan4-storage,f4d08f2f5595451b0ccd1074ec7a53b94400b1e4d2fb138560cc9fa1eeef1fa1,"INSERT OR IGNORE INTO staging_acknowledgements VALUES(?,?,?,?,?)"
worker/src/staging/downloads.ts,138,staging_objects,UPDATE,settlement-linked,acbc11aeeba958ce3c59d1f235b50766433432f08c96de1a811ef8dcc4db8a55,UPDATE staging_objects SET consumed_at=? WHERE handle=? AND user_id=? AND direction='download' AND consumed_at IS NULL
worker/src/staging/materialization.ts,29,staging_materializations,INSERT INTO,plan4-storage,9cc4c3946459965c313c327c16e6301a20aa4de7bf57ee9c6fa5ced1e78e1ab2,"INSERT INTO staging_materializations VALUES(?,?,?,?,?)"
worker/src/staging/materialization.ts,43,staging_materializations,DELETE FROM,plan4-storage,15886578bc444d47cd68917d11e020a00987d4a27e76f82e23d40ccbc7e301e8,DELETE FROM staging_materializations WHERE id=?
worker/src/staging/recovery.ts,11,upload_generations,UPDATE,plan4-storage,5ba0207b42f157eb5d0bb01cf0b73f54cf7b97d2c251ff7e7626bbd59f5c097e,"UPDATE upload_generations SET state='expired',cleanup_state='released',writer_stopped=1 WHERE ticket_id IN (SELECT ticket_id FROM upload_generations WHERE state='issued' AND issued_until<=? LIMIT ?)"
worker/src/staging/recovery.ts,16,upload_generations,UPDATE,plan4-storage,6a8998e04bb279f042ea98d01fd517431cf2d291c036e0d8836f585dc4691d01,"UPDATE upload_generations SET state='abandoned',cleanup_state='debt' WHERE ticket_id IN (SELECT ticket_id FROM upload_generations WHERE state IN ('uploading','stored') AND lease_until<=? LIMIT ?)"
worker/src/staging/recovery.ts,35,upload_transfers,UPDATE,plan4-storage,4b943ae0f35c7662ff96a8121e7c60f73d8474b3032586e0d868aad47e293322,"UPDATE upload_transfers SET state='expired',error='pending_expired' WHERE user_id=? AND id=?"
worker/src/staging/recovery.ts,39,operations,UPDATE,settlement-linked,cf97121bc37335cfd3ed3a3ad879f88d9f26cee771c57699eaa3aaee85240bb0,"UPDATE operations SET state='failed_safe',updated_at=? WHERE id=? AND action='attachment.stage_upload' AND state IN ('claimed','executing')"
worker/src/staging/recovery.ts,44,pending_actions,UPDATE,settlement-linked,68b8214c1b63dd5a042bce1382373f57e9a22c1f943a7f3b028b6ffe416c7780,"UPDATE pending_actions SET state='expired',payload_json=NULL,summary='redacted' WHERE id=? AND action='attachment.stage_upload' AND state IN ('pending','approved','executing')"
worker/src/staging/recovery.ts,68,upload_generations,UPDATE,plan4-storage,de4cab355bdf12584e918e13a1a097f60fcaf17b5ab5eb912011f5c4e25460fe,UPDATE upload_generations SET cleanup_state='released' WHERE ticket_id=? AND cleanup_state='debt' AND writer_stopped=1
worker/src/staging/recovery.ts,73,staging_ingests,UPDATE,plan4-storage,2517ec429e9c6ddc4806db4500dd4512ceab44a0a98a4c1ee82183974c195f6e,UPDATE staging_ingests SET state='debt' WHERE state='active' AND lease_until<=?
worker/src/staging/recovery.ts,82,staging_ingests,UPDATE,plan4-storage,77e31510d0d54bde75d6fc8cf97f03cefb49e309a2beba301137411eebcab14c,UPDATE staging_ingests SET state='released' WHERE id=? AND state='debt' AND writer_stopped=1
worker/src/staging/recovery.ts,88,staging_ingests,DELETE FROM,plan4-storage,4ba23ac0938db63092885ed50ccc1349c550fdc2b958dbc01f85c14b798996fa,"DELETE FROM staging_ingests WHERE state IN ('released','published') AND NOT EXISTS(SELECT 1 FROM staging_objects s WHERE s.handle=staging_ingests.id)"
worker/src/staging/recovery.ts,93,staging_recovery_slots,DELETE FROM,plan4-storage,d61385bbe74bff1efe398396d239fdae6854e454ea5a60c6441799f435a186e1,DELETE FROM staging_recovery_slots WHERE retain_until<=? AND NOT EXISTS(SELECT 1 FROM upload_transfers t WHERE t.user_id=staging_recovery_slots.user_id AND staging_recovery_slots.key='upload:'||t.id)
worker/src/staging/recovery.ts,97,staging_materializations,DELETE FROM,plan4-storage,7f6e8419da4a4d0a746dd16da21f8402891e0a5efbe8ef805126c01f26d39a42,DELETE FROM staging_materializations WHERE lease_until<=?
worker/src/staging/recovery.ts,99,download_streams,DELETE FROM,plan4-storage,a7a386de0df3a4772a84cb7ecb72302894784a62e06036d31135a44a1bd9ab44,DELETE FROM download_streams WHERE lease_until<=?
worker/src/staging/recovery.ts,102,staging_acknowledgements,DELETE FROM,plan4-storage,8012c47ee9e43a1086ed6ab1d29a48be0798476e845a5046f187c9b2b0a1344f,DELETE FROM staging_acknowledgements WHERE retain_until<=? AND NOT EXISTS(SELECT 1 FROM staging_objects s WHERE s.handle=staging_acknowledgements.handle)
worker/src/staging/recovery.ts,107,download_admissions,DELETE FROM,plan4-storage,fa9ba2157e7940363f0e3dde8c2899f819612d730150865ef2649b29ae4c6899,DELETE FROM download_admissions WHERE retain_until<=? AND NOT EXISTS(SELECT 1 FROM download_streams s WHERE s.handle=download_admissions.handle AND s.user_id=download_admissions.user_id)
worker/src/staging/recovery.ts,112,upload_retry_requests,DELETE FROM,plan4-storage,b2ac2e01a48112555b2aafe4fe3e554cacc98890d52de3233683a700779dabd6,"DELETE FROM upload_retry_requests WHERE EXISTS(SELECT 1 FROM upload_transfers t WHERE t.user_id=upload_retry_requests.user_id AND t.id=upload_retry_requests.transfer_id AND t.retain_until<=? AND t.state IN ('completed','failed','expired','denied') AND NOT EXISTS(SELECT 1 FROM upload_generations g WHERE g.user_id=t.user_id AND g.transfer_id=t.id AND g.cleanup_state IN ('debt','deleting','reserved')))"
worker/src/staging/recovery.ts,117,upload_generations,DELETE FROM,plan4-storage,81b9f18008a308799e401ac54e69db1fe194f684f0ed8829d0555a35d49825c7,"DELETE FROM upload_generations WHERE EXISTS(SELECT 1 FROM upload_transfers t WHERE t.user_id=upload_generations.user_id AND t.id=upload_generations.transfer_id AND t.retain_until<=? AND t.state IN ('completed','failed','expired','denied') AND NOT EXISTS(SELECT 1 FROM upload_generations g WHERE g.user_id=t.user_id AND g.transfer_id=t.id AND g.cleanup_state IN ('debt','deleting','reserved')))"
worker/src/staging/recovery.ts,122,upload_transfers,DELETE FROM,plan4-storage,40d177cdb475cedeebeaecd0936d468e2c3c562d69bfad29b0b201137395552c,"DELETE FROM upload_transfers WHERE retain_until<=? AND state IN ('completed','failed','expired','denied') AND NOT EXISTS(SELECT 1 FROM upload_generations g WHERE g.user_id=upload_transfers.user_id AND g.transfer_id=upload_transfers.id)"
worker/src/staging/store.ts,99,staging_materializations,UPDATE,plan4-storage,668ef56988d73f56dd8c5efdfe8f9db64973a8f355706983999a0d2acfb37ac3,UPDATE staging_materializations SET reserved_bytes=0 WHERE id=?
worker/src/staging/store.ts,107,staging_ingests,INSERT INTO,plan4-storage,682a49a7dfac6a04f97b5491ef72a72b8b50657bc90e0a08669fbcf43049e1d9,"INSERT INTO staging_ingests(id,user_id,account_id,r2_key,reserved_bytes,lease_until,state) VALUES(?,?,?,?,?,?,'active')"
worker/src/staging/store.ts,147,staging_objects,INSERT INTO,settlement-linked,be7c16260609c85496ee8bd834c6dff43b43410df16cd89f2ef41e1dce7e4e9c,"INSERT INTO staging_objects (handle, user_id, account_id, direction, r2_key, filename, mime, size, sha256,
         source_message_id, source_attachment_id, created_at, expires_at)
       VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)"
worker/src/staging/store.ts,165,staging_ingests,UPDATE,plan4-storage,793fe2b48b36ab7bd8966f8e3a9b91e8750155c98ba87cbe89c5b4844a38a41e,"UPDATE staging_ingests SET state='published',writer_stopped=1 WHERE id=?"
worker/src/staging/store.ts,171,staging_ingests,UPDATE,plan4-storage,b6d4bd248742003ab251b689c2b665078eb2e086a7cdecf8ea278785278d426b,"UPDATE staging_ingests SET state='debt',writer_stopped=? WHERE id=? AND state!='published'"
worker/src/staging/store.ts,177,staging_ingests,UPDATE,plan4-storage,77e31510d0d54bde75d6fc8cf97f03cefb49e309a2beba301137411eebcab14c,UPDATE staging_ingests SET state='released' WHERE id=? AND state='debt' AND writer_stopped=1
worker/src/staging/store.ts,217,staging_objects,UPDATE,settlement-linked,c1657c373eccfd02d5d17091d100360c526053b9d84f7422121abd1c0640d806,"UPDATE staging_objects SET reserved_by_operation_id = ?
         WHERE handle IN (${o.handles.map(() => ""?"").join("","")}) AND user_id = ? AND account_id = ? AND direction = 'upload'
           AND consumed_at IS NULL AND reserved_by_operation_id IS NULL AND cleanup_state='available' AND expires_at > ?"
worker/src/staging/store.ts,224,_assert,INSERT INTO,other-domain,c5f7e9cc94a22ad01f33ce0e78476204510b038b0b004753e75196686281e85c,INSERT INTO _assert (x) SELECT 1 WHERE (SELECT count(*) FROM staging_objects WHERE reserved_by_operation_id = ?) != ?
worker/src/staging/store.ts,240,staging_objects,UPDATE,settlement-linked,97021ce44ef1699d024ba97754aa619dd7866639ac3d2c2f77bae31215cb9f05,"UPDATE staging_objects SET expires_at = MAX(expires_at, ?) WHERE handle IN (${handles.map(() => ""?"").join("","")}) AND user_id = ? AND account_id = ? AND cleanup_state='available'"
worker/src/staging/store.ts,275,staging_objects,UPDATE,settlement-linked,9ced412772dc8f5da4b92b88bbf084455c39e7eae153a3e82de6379aff4148e4,"UPDATE staging_objects SET consumed_at = ?, reserved_by_operation_id = NULL WHERE reserved_by_operation_id = ? AND consumed_at IS NULL"
worker/src/staging/store.ts,285,staging_objects,UPDATE,settlement-linked,1a87874b96516ec5c6bc52a4b7253e1539be79ec8d3c1ad8bacf34b7937fb958,UPDATE staging_objects SET reserved_by_operation_id = NULL WHERE reserved_by_operation_id = ? AND consumed_at IS NULL
worker/src/staging/store.ts,301,staging_objects,UPDATE,settlement-linked,b1eb964272fb59472b0a76d90bfaaacd7538ef001664f88d5187edeb2956e7e7,"UPDATE staging_objects SET cleanup_state='deleting' WHERE handle=? AND reserved_by_operation_id IS NULL AND COALESCE(download_lease_until,0)<=? AND (expires_at<=? OR consumed_at IS NOT NULL OR cleanup_state='deleting') RETURNING handle"
worker/src/staging/store.ts,307,staging_objects,DELETE FROM,settlement-linked,8454ba36ffaa2ca6891e28ea8536520199b9a2ca2a06aeb76a6a3e8084876934,DELETE FROM staging_objects WHERE handle=? AND cleanup_state='deleting'
worker/src/staging/transfers.ts,53,_assert,INSERT INTO,other-domain,530eaa903de03d13bcd2c5b509c73df3f9bb1eebda356b1ff0ac42792ff10226,INSERT INTO _assert(x) SELECT 1 WHERE NOT (${condition})
worker/src/staging/transfers.ts,203,upload_transfers,INSERT INTO,plan4-storage,5ec5f9d026efd5dc1fde01f3301147f8035479a31e644080ac88e45ecad92a4b,"INSERT INTO upload_transfers(user_id,id,account_id,account_alias,metadata_json,intent_hash,state,pending_id,created_at,authority_until,retain_until) VALUES(?,?,?,?,?,?,?,?,?,?,?)"
worker/src/staging/transfers.ts,247,upload_transfers,UPDATE,plan4-storage,bc9c1e34a0538316fb13d971a95eb999fb16cbfd17fb8fcb661a020d68b27e59,"UPDATE upload_transfers SET state='expired',error='pending_expired' WHERE user_id=? AND id=? AND state!='completed' AND NOT EXISTS(SELECT 1 FROM upload_generations g WHERE g.user_id=upload_transfers.user_id AND g.transfer_id=upload_transfers.id AND g.generation=upload_transfers.active_generation AND g.state IN ('uploading','stored') AND g.lease_until>?)"
worker/src/staging/transfers.ts,293,upload_generations,UPDATE,plan4-storage,865573dfa025d5bef05548ef7f458ddbcb270d3dda3f282cc94074ea69d7c5f0,"UPDATE upload_generations SET state='expired',cleanup_state='released',writer_stopped=1 WHERE user_id=? AND transfer_id=? AND generation=? AND state='issued'"
worker/src/staging/transfers.ts,297,upload_transfers,UPDATE,plan4-storage,c1108ec2da7dbfe6a66a652d1b5b9d908148a11ca207a1e84badfd2521dec6cc,UPDATE upload_transfers SET state='awaiting_approval' WHERE user_id=? AND id=?
worker/src/staging/transfers.ts,305,upload_transfers,UPDATE,plan4-storage,deba985cf0cb1eda76709357a3eae991dfe0407cc3a2134ef74add2b89b2344f,"UPDATE upload_transfers SET state='failed',error=? WHERE user_id=? AND id=?"
worker/src/staging/transfers.ts,336,upload_transfers,UPDATE,plan4-storage,f881145f859cf250822807db0da2721123932caa2d6f36c4c665e6c3122b4ec5,"UPDATE upload_transfers SET pending_id=?,state='awaiting_approval' WHERE user_id=? AND id=?"
worker/src/staging/transfers.ts,378,upload_generations,UPDATE,plan4-storage,8ff5e59616b72f0d1fe2265bd3de302493e07ddd0960f234140953f1a0cc3445,"UPDATE upload_generations SET state='expired',cleanup_state='released',writer_stopped=1 WHERE user_id=? AND transfer_id=? AND generation=? AND state='issued' AND issued_until<=?"
worker/src/staging/transfers.ts,406,operations,INSERT INTO,settlement-linked,9c40d40d7ade7635282d3b6cee932ffafa9a190934cb1b5cfccafcaf5dc3b128,"INSERT INTO operations(id,user_id,account_id,action,idempotency_key,state,payload_hash,created_at,updated_at) VALUES(?,?,?,'attachment.stage_upload',?,'claimed',?,?,?)"
worker/src/staging/transfers.ts,414,pending_actions,UPDATE,settlement-linked,aae7cd01566a1e50233a5b1a3ac09aa3982081b00b99b2ab366fa4df90fb77bd,"UPDATE pending_actions SET state='executing',operation_id=?,execution_started_at=? WHERE id=? AND user_id=? AND state='approved' AND expires_at>?"
worker/src/staging/transfers.ts,428,upload_generations,INSERT INTO,plan4-storage,b97e08c4f9d2e0f6c971b4903c2b00915570c3af69811415466cd3fc00a8ebc5,"INSERT INTO upload_generations(user_id,transfer_id,account_id,generation,ticket_id,state,issued_until,r2_key,reserved_bytes,created_at) VALUES(?,?,?,?,?,'issued',?,?,?,?)"
worker/src/staging/transfers.ts,445,upload_transfers,UPDATE,plan4-storage,aa865e2a80dda7caa3ec1ff2ff00e31e4fc3de584bdf7a4694ac535dc8bbd49e,"UPDATE upload_transfers SET state='in_progress',operation_id=?,active_generation=? WHERE user_id=? AND id=?"
